transaction_date,total_transactions,actual_fraud_transactions,predicted_high_risk_transactions,total_transaction_value,actual_fraud_value,potential_exposure,fraud_rate
2024-06-13,274,10,94,27725.71,3302.77,11846.08,3.6496
2024-06-14,274,10,96,25377.56,1696.4,11986.26,3.6496
2024-06-15,274,10,85,28280.44,5041.66,10265.28,3.6496
2024-06-16,274,9,90,22620.45,1040.08,6431.57,3.2847
2024-06-17,274,10,103,20664.829999999998,429.54999999999995,6890.96,3.6496
2024-06-18,274,5,95,23415.06,678.24,7557.2300000000005,1.8248
2024-06-19,274,7,84,24698.39,342.04,6415.8,2.5547
2024-06-20,274,5,83,23114.31,894.8900000000001,7651.38,1.8248
2024-06-21,274,3,91,29739.52,4202.84,11130.359999999999,1.0949
2024-06-22,273,9,101,25700.41,5628.29,13500.57,3.2967
2024-06-23,274,11,101,30350.21,2955.36,15121.18,4.0146
2024-06-24,274,11,88,25804.41,1997.79,9948.06,4.0146
2024-06-25,274,5,77,22595.58,678.11,6357.63,1.8248
2024-06-26,274,7,97,25327.88,1534.1299999999999,9501.97,2.5547
2024-06-27,274,11,82,27072.77,6757.8,12036.07,4.0146
2024-06-28,274,6,93,26612.56,706.02,8584.59,2.1898
2024-06-29,274,6,83,24081.3,2047.6200000000001,8929.720000000001,2.1898
2024-06-30,274,8,87,26702.61,708.98,8957.76,2.9197
2024-07-01,274,6,87,20244.08,264.2,6517.81,2.1898
2024-07-02,274,13,81,21282.62,693.32,5211.06,4.7445
2024-07-03,274,8,81,25782.87,3960.59,9776.07,2.9197
2024-07-04,274,5,86,24913.02,97.53999999999999,7179.55,1.8248
2024-07-05,274,9,80,22609.54,840.76,7100.56,3.2847
2024-07-06,274,10,93,25866.65,1148.19,8092.33,3.6496
2024-07-07,274,7,82,24950.61,219.14000000000001,4741.99,2.5547
2024-07-08,274,9,85,22605.97,2876.37,9328.64,3.2847
2024-07-09,274,6,79,22162.09,1210.35,6100.84,2.1898
2024-07-10,274,4,92,23678.58,213.20000000000002,8121.5599999999995,1.4599
2024-07-11,274,10,109,24695.260000000002,4656.96,11416.42,3.6496
2024-07-12,274,11,86,20544.41,914.18,5924.49,4.0146
2024-07-13,274,4,93,26912.61,2037.63,9559.12,1.4599
2024-07-14,274,10,98,25629.63,1982.06,8157.5,3.6496
2024-07-15,274,8,87,21051.36,1428.2199999999998,7618.96,2.9197
2024-07-16,274,12,89,22560.41,1768.7900000000002,7850.94,4.3796
2024-07-17,274,4,84,22908.39,564.05,6651.97,1.4599
2024-07-18,274,9,97,27114.09,2847.93,9218.86,3.2847
2024-07-19,274,11,90,22217.34,3271.41,8130.91,4.0146
2024-07-20,274,6,90,27695.54,2122.31,12063.57,2.1898
2024-07-21,274,5,89,27009.989999999998,6529.709999999999,12347.08,1.8248
2024-07-22,274,3,74,25412.99,190.32,8383.57,1.0949
2024-07-23,274,8,82,26305.670000000002,909.02,8060.3,2.9197
2024-07-24,274,3,79,22368.64,272.03,6355.4,1.0949
2024-07-25,274,15,93,22851.45,2393.3199999999997,7776.95,5.4745
2024-07-26,274,8,92,23310.39,587.71,7303.38,2.9197
2024-07-27,273,12,92,28133.56,4347.98,12401.77,4.3956
2024-07-28,274,8,81,24476.27,351.21000000000004,6015.15,2.9197
2024-07-29,274,9,89,29319.0,1249.8600000000001,8918.66,3.2847
2024-07-30,274,8,77,24807.11,1903.9900000000002,7228.27,2.9197
2024-07-31,274,6,77,24316.74,462.79,5044.1,2.1898
2024-08-01,274,11,84,23191.99,3124.09,7868.63,4.0146
2024-08-02,274,6,81,26622.61,198.23000000000002,7345.490000000001,2.1898
2024-08-03,274,4,94,24777.96,5232.6900000000005,11705.869999999999,1.4599
2024-08-04,274,13,91,33500.06,6742.95,18974.08,4.7445
2024-08-05,274,8,91,22930.27,414.21,5908.94,2.9197
2024-08-06,274,10,98,24700.37,2043.1,8853.779999999999,3.6496
2024-08-07,274,7,72,23123.32,369.14,6491.61,2.5547
2024-08-08,274,4,83,26163.36,4264.66,10109.35,1.4599
2024-08-09,274,8,89,20469.31,857.69,7511.55,2.9197
2024-08-10,274,11,95,28618.13,3982.65,11664.210000000001,4.0146
2024-08-11,274,5,80,24200.34,505.91999999999996,6879.51,1.8248
2024-08-12,274,9,93,31371.66,7174.87,13130.81,3.2847
2024-08-13,274,6,88,25041.15,1745.71,9927.83,2.1898
2024-08-14,274,6,79,27364.71,2020.3600000000001,8004.52,2.1898
2024-08-15,274,7,99,19793.71,877.71,6487.58,2.5547
2024-08-16,274,4,85,25422.01,181.88,9342.65,1.4599
2024-08-17,274,8,81,24819.15,3198.3700000000003,8192.57,2.9197
2024-08-18,274,6,91,25486.87,3523.49,9056.17,2.1898
2024-08-19,274,3,94,23978.44,274.43,8877.75,1.0949
2024-08-20,274,8,87,23912.03,1057.32,7169.4,2.9197
2024-08-21,274,8,81,23336.21,550.68,7413.21,2.9197
2024-08-22,274,8,95,24124.75,1740.1,9179.89,2.9197
2024-08-23,274,10,91,24302.72,1820.69,10501.36,3.6496
2024-08-24,274,5,81,26910.079999999998,554.1999999999999,8086.0599999999995,1.8248
2024-08-25,274,12,76,26062.170000000002,4943.13,9418.41,4.3796
2024-08-26,274,4,84,24522.579999999998,760.0,7439.54,1.4599
2024-08-27,274,3,81,25073.29,175.31,9317.76,1.0949
2024-08-28,274,6,83,24093.87,145.85,6013.87,2.1898
2024-08-29,274,7,93,25989.91,1811.2,9352.31,2.5547
2024-08-30,274,8,87,23704.4,1315.13,7423.04,2.9197
2024-08-31,273,12,96,25097.96,2011.04,10346.66,4.3956
2024-09-01,274,9,102,21952.03,503.18,8158.57,3.2847
2024-09-02,274,7,93,24349.99,3546.25,9669.6,2.5547
2024-09-03,274,8,97,21412.77,1528.8200000000002,7107.84,2.9197
2024-09-04,274,6,81,24603.17,785.06,5816.7,2.1898
2024-09-05,274,14,96,24049.39,4269.78,10962.4,5.1095
2024-09-06,274,6,79,25061.71,2326.97,7230.71,2.1898
2024-09-07,274,6,97,27500.67,553.3299999999999,9633.039999999999,2.1898
2024-09-08,274,5,76,24135.43,241.35,6183.99,1.8248
2024-09-09,274,4,85,31017.22,1678.1799999999998,13472.23,1.4599
2024-09-10,274,8,87,22763.95,697.7,5043.45,2.9197
2024-09-11,274,6,89,26384.95,1401.63,8482.6,2.1898
2024-09-12,274,5,81,24263.44,901.9200000000001,9853.09,1.8248
2024-09-13,274,8,94,34639.03,1719.3500000000001,16404.37,2.9197
2024-09-14,274,10,87,24577.26,1893.0800000000002,9051.53,3.6496
2024-09-15,274,9,94,24204.86,2768.6299999999997,10070.06,3.2847
2024-09-16,274,1,67,22273.05,48.7,7734.78,0.365
2024-09-17,274,11,90,25997.18,2515.93,8835.13,4.0146
2024-09-18,274,12,88,26732.19,4126.82,11952.75,4.3796
2024-09-19,274,9,81,23708.87,669.06,7704.4,3.2847
2024-09-20,274,10,92,26991.86,2747.97,10209.97,3.6496
2024-09-21,274,9,95,25519.58,4262.5599999999995,10465.76,3.2847
2024-09-22,274,9,85,28736.79,3856.9399999999996,10526.42,3.2847
2024-09-23,274,7,89,23588.85,2970.88,9642.07,2.5547
2024-09-24,274,9,71,25949.56,2331.71,7720.8,3.2847
2024-09-25,274,10,92,23945.19,1998.9,7798.47,3.6496
2024-09-26,274,8,88,28082.170000000002,2933.91,9664.76,2.9197
2024-09-27,274,8,98,27025.23,3149.52,12083.8,2.9197
2024-09-28,274,5,86,24243.14,260.12,6220.57,1.8248
2024-09-29,274,7,85,27632.37,2655.74,9072.710000000001,2.5547
2024-09-30,274,11,97,31911.17,7255.1,16343.25,4.0146
2024-10-01,274,12,88,31868.04,5015.87,13683.43,4.3796
2024-10-02,274,9,89,23239.4,1025.14,5993.38,3.2847
2024-10-03,274,15,93,29063.23,4158.85,13064.130000000001,5.4745
2024-10-04,274,7,87,22036.52,1312.84,6556.63,2.5547
2024-10-05,273,2,82,24971.04,96.11,6780.47,0.7326
2024-10-06,274,8,86,25585.03,2377.67,9059.58,2.9197
2024-10-07,274,15,96,28245.76,6686.79,13396.4,5.4745
2024-10-08,274,12,89,26344.36,3681.87,9157.23,4.3796
2024-10-09,274,7,102,21608.04,1853.17,9156.81,2.5547
2024-10-10,274,8,94,25566.010000000002,3881.5,10550.37,2.9197
2024-10-11,274,4,92,24208.72,2839.0099999999998,9463.34,1.4599
2024-10-12,274,7,92,25361.53,954.7,7767.43,2.5547
2024-10-13,274,10,89,24282.46,839.22,6840.17,3.6496
2024-10-14,274,7,76,21028.79,574.87,4946.91,2.5547
2024-10-15,274,8,92,25119.25,2595.6200000000003,9260.16,2.9197
2024-10-16,274,8,99,27767.04,5319.200000000001,13874.2,2.9197
2024-10-17,274,6,93,24261.89,2400.21,8581.82,2.1898
2024-10-18,274,10,86,29380.02,5950.04,10536.68,3.6496
2024-10-19,274,7,81,22748.5,394.62,6834.8,2.5547
2024-10-20,274,8,77,32900.95,769.19,17006.969999999998,2.9197
2024-10-21,274,4,92,28085.82,3048.92,10382.65,1.4599
2024-10-22,274,5,92,24807.47,457.99,8042.97,1.8248
2024-10-23,274,5,92,25135.579999999998,322.32,7690.4800000000005,1.8248
2024-10-24,274,14,89,25952.99,3192.27,10262.35,5.1095
2024-10-25,274,11,90,26228.94,3011.79,10314.619999999999,4.0146
2024-10-26,274,7,91,20444.15,224.75,6277.98,2.5547
2024-10-27,274,5,86,28067.55,1226.66,11444.14,1.8248
2024-10-28,274,6,77,23707.25,737.5699999999999,6262.88,2.1898
2024-10-29,274,13,92,28467.44,3520.14,12073.22,4.7445
2024-10-30,274,11,82,26906.13,3815.0699999999997,10988.82,4.0146
2024-10-31,274,11,96,23286.920000000002,1823.95,8075.22,4.0146
2024-11-01,274,6,87,23158.82,2576.89,10458.74,2.1898
2024-11-02,274,10,85,25944.76,839.42,7710.96,3.6496
2024-11-03,274,6,92,22412.04,1406.5100000000002,6706.32,2.1898
2024-11-04,274,8,93,22680.75,747.4300000000001,7049.11,2.9197
2024-11-05,274,9,90,24027.72,2337.57,8774.19,3.2847
2024-11-06,274,6,85,27408.38,5186.209999999999,11432.85,2.1898
2024-11-07,274,13,109,22657.01,601.11,10864.56,4.7445
2024-11-08,273,11,82,26830.16,1731.27,8599.71,4.0293
2024-11-09,274,7,97,25049.18,2069.07,8310.89,2.5547
2024-11-10,274,5,83,24085.79,1118.75,6378.53,1.8248
2024-11-11,274,10,85,25953.78,3938.8199999999997,9240.25,3.6496
2024-11-12,274,12,93,26302.74,5110.4,12141.56,4.3796
2024-11-13,274,9,95,27023.71,571.3,12969.23,3.2847
2024-11-14,274,7,95,26523.96,1319.6100000000001,10558.39,2.5547
2024-11-15,274,6,94,20049.72,111.18,6257.21,2.1898
2024-11-16,274,12,92,25339.22,2939.11,8910.65,4.3796
2024-11-17,274,4,90,24456.3,2972.25,9260.7,1.4599
2024-11-18,274,15,85,27717.32,3975.93,9052.27,5.4745
2024-11-19,274,11,102,23677.23,434.73,8136.72,4.0146
2024-11-20,274,7,91,27934.32,1632.9599999999998,9170.73,2.5547
2024-11-21,274,7,75,23122.37,315.19,6804.88,2.5547
2024-11-22,274,7,92,22143.84,507.02,8283.15,2.5547
2024-11-23,274,13,96,22952.58,2463.3,10317.94,4.7445
2024-11-24,274,8,82,23485.87,2600.3999999999996,7751.54,2.9197
2024-11-25,274,13,90,27977.88,2674.15,13511.47,4.7445
2024-11-26,274,11,102,20963.14,651.43,6698.7,4.0146
2024-11-27,274,12,91,25368.79,7432.99,12758.210000000001,4.3796
2024-11-28,274,4,85,26029.57,1407.56,8307.21,1.4599
2024-11-29,274,10,96,26624.0,2976.61,10152.460000000001,3.6496
2024-11-30,274,12,110,25396.55,4341.09,11981.31,4.3796
2024-12-01,274,2,89,21169.46,149.09,6505.07,0.7299
2024-12-02,274,6,93,22451.34,455.27,7432.6900000000005,2.1898
2024-12-03,274,5,99,26005.41,326.26,9827.960000000001,1.8248
2024-12-04,274,12,86,26802.55,1588.84,9233.62,4.3796
2024-12-05,274,5,88,26938.79,482.46,9096.07,1.8248
2024-12-06,274,12,93,26190.4,898.8399999999999,8933.95,4.3796
2024-12-07,274,14,103,30260.22,6771.08,13664.08,5.1095
2024-12-08,274,9,90,24380.55,3699.04,10141.37,3.2847
2024-12-09,274,8,91,24084.78,3192.54,10092.5,2.9197
2024-12-10,274,5,91,23683.02,1326.8,8747.37,1.8248
2024-12-11,274,10,85,27690.77,6594.0,12071.02,3.6496
2024-12-12,274,7,95,22108.57,691.29,7706.67,2.5547
2024-12-13,273,8,94,25008.25,658.1899999999999,8900.75,2.9304
2024-12-14,274,5,86,24971.02,389.51,7580.61,1.8248
2024-12-15,274,8,83,24725.59,963.36,6016.99,2.9197
2024-12-16,274,8,84,25097.07,470.23,9983.06,2.9197
2024-12-17,274,6,90,25000.92,415.57,7625.72,2.1898
2024-12-18,274,9,86,28184.17,4702.07,11578.02,3.2847
2024-12-19,274,7,87,29204.87,5823.860000000001,11817.72,2.5547
2024-12-20,274,10,86,26808.34,4139.17,10685.39,3.6496
2024-12-21,274,7,87,21029.88,558.9599999999999,6353.19,2.5547
2024-12-22,274,14,82,32618.87,3107.59,12348.75,5.1095
2024-12-23,274,6,76,25340.33,1637.79,10030.84,2.1898
2024-12-24,274,6,85,27285.84,1874.87,9031.49,2.1898
2024-12-25,274,17,83,28060.47,3967.93,9539.16,6.2044
2024-12-26,274,6,80,29077.86,3064.8599999999997,9040.06,2.1898
2024-12-27,274,7,92,23812.399999999998,1894.49,9571.789999999999,2.5547
2024-12-28,274,10,96,22196.920000000002,740.01,8872.300000000001,3.6496
2024-12-29,274,4,81,23978.38,178.35999999999999,8588.48,1.4599
2024-12-30,274,6,93,21984.829999999998,349.86,6934.25,2.1898
2024-12-31,274,8,89,24098.72,166.86,8543.21,2.9197
2025-01-01,274,9,84,25175.43,2341.89,9030.21,3.2847
2025-01-02,274,11,90,22120.07,2113.2599999999998,7817.79,4.0146
2025-01-03,274,5,90,25012.1,1475.1999999999998,7610.64,1.8248
2025-01-04,274,8,83,26800.9,4944.360000000001,10551.59,2.9197
2025-01-05,274,8,79,23483.920000000002,510.23,6256.78,2.9197
2025-01-06,274,6,81,24243.36,219.41,5455.61,2.1898
2025-01-07,274,8,75,23337.37,763.14,6148.39,2.9197
2025-01-08,274,4,93,21268.63,264.09999999999997,6256.92,1.4599
2025-01-09,274,12,81,24251.03,2951.75,9332.81,4.3796
2025-01-10,274,2,107,22878.84,476.89,8656.82,0.7299
2025-01-11,274,5,89,23584.58,380.01,5649.29,1.8248
2025-01-12,274,6,84,21045.72,831.75,6379.87,2.1898
2025-01-13,274,8,65,25660.22,3687.3100000000004,7233.83,2.9197
2025-01-14,274,7,92,22206.16,2543.69,8041.12,2.5547
2025-01-15,274,6,76,25644.25,2106.82,7850.29,2.1898
2025-01-16,274,12,115,22294.46,1198.58,9264.3,4.3796
2025-01-17,273,5,87,24392.98,335.21999999999997,5850.89,1.8315
2025-01-18,274,6,81,29027.62,1610.41,9470.3,2.1898
2025-01-19,274,7,89,23291.65,1945.3600000000001,8163.49,2.5547
2025-01-20,274,15,94,25499.05,3141.1099999999997,8893.24,5.4745
2025-01-21,274,6,79,24388.24,307.28000000000003,6691.32,2.1898
2025-01-22,274,9,93,25968.64,2755.65,10651.8,3.2847
2025-01-23,274,10,84,27090.42,3956.71,10966.57,3.6496
2025-01-24,274,15,100,28231.44,5544.26,12373.06,5.4745
2025-01-25,274,11,95,25554.31,4465.400000000001,11576.07,4.0146
2025-01-26,274,5,97,24000.75,1345.3400000000001,8587.11,1.8248
2025-01-27,274,9,94,27196.18,4905.07,11530.07,3.2847
2025-01-28,274,10,102,26693.09,3642.1,11398.41,3.6496
2025-01-29,274,6,78,23443.57,613.74,5552.04,2.1898
2025-01-30,274,7,96,23577.13,1320.6,10129.65,2.5547
2025-01-31,274,9,97,24144.82,1699.52,9394.4,3.2847
2025-02-01,274,10,93,21250.75,1321.72,8775.69,3.6496
2025-02-02,274,10,87,23384.1,1770.61,8108.89,3.6496
2025-02-03,274,12,88,24651.79,1891.21,9588.89,4.3796
2025-02-04,274,8,92,25113.94,1801.8700000000001,10113.74,2.9197
2025-02-05,274,6,90,24619.59,1921.16,7726.05,2.1898
2025-02-06,274,8,91,27458.89,4817.92,10394.789999999999,2.9197
2025-02-07,274,9,99,26467.96,448.27,8677.539999999999,3.2847
2025-02-08,274,6,82,22667.81,505.38,6414.91,2.1898
2025-02-09,274,8,80,24792.16,649.01,5473.59,2.9197
2025-02-10,274,11,90,23598.67,3413.76,9323.26,4.0146
2025-02-11,274,9,96,24470.81,315.44,8375.23,3.2847
